Gene,SRR5886303,SRR5886304,SRR5886305,SRR5886306
ACOT6,0,0,0,0
ACOT7,778,314,690,640
ACOT8,227,84,289,269
ACOT9,6424,5420,3432,2431
ACOX1,1219,1016,1251,905
ACOX2,6,0,0,1
ACOX3,94,38,107,85
ACOXL,32,13,21,13
ACOXL-AS1,2,1,1,1
ACP1,4210,3228,4038,3132
ACP2,961,464,1079,870
ACP3,106,73,139,141
ACP4,0,0,0,0
ACP5,0,0,0,0
ACP6,227,130,177,131
ACP7,0,0,0,0
ACR,0,0,0,0
ACRBP,2,1,7,1
ACRV1,0,0,0,0
ACSBG1,4,5,1,1
ACSBG2,0,1,2,1
ACSF2,22,10,212,160
ACSF3,398,125,559,510
ACSL1,1397,1177,1098,834
ACSL3,4980,5129,6845,5406
ACSL4,11945,12544,10255,8354
ACSL5,355,296,314,240
ACSL6,0,0,0,0
ACSM1,0,0,0,0
ACSM2A,0,0,0,0
ACSM2B,0,0,0,0
ACSM3,18,11,18,20
ACSM4,0,0,0,0
ACSM5,0,1,0,0
ACSM6,0,0,0,0
ACSS1,0,0,4,3
ACSS2,1006,537,903,733
ACSS3,0,0,0,0
ACTA1,0,1,3,0
ACTA2,65,31,55,46
ACTA2-AS1,51,46,76,74
ACTB,52353,31233,68212,57083
ACTBL2,56,30,1,5
ACTC1,0,0,5,5
ACTG1,28137,21028,44354,35312
ACTG1P17,15,10,10,3
ACTG1P20,179,191,145,158
ACTG1P4,22,9,23,22
ACTG2,180,117,681,466
ACTL10,0,0,0,0
ACTL6A,4674,4606,4305,3265
ACTL6B,0,0,0,0
ACTL7A,0,0,0,0
ACTL7B,0,0,0,0
ACTL8,111,57,412,345
ACTL9,0,0,0,0
ACTN1,9246,4485,6438,5478
ACTN1-AS1,1,1,1,2
ACTN2,0,0,0,0
ACTN3,0,0,0,0
ACTN4,8421,3098,11218,9470
ACTR10,1796,1855,1197,943
ACTR1A,3048,1726,3023,2309
ACTR1B,859,324,1151,900
ACTR2,8499,9916,5247,4607
ACTR3,13157,13417,7465,5536
ACTR3-AS1,9,3,8,8
ACTR3B,449,389,608,537
ACTR3BP2,0,0,0,0
ACTR3BP5,0,4,0,0
ACTR3C,288,253,347,290
ACTR5,554,405,759,493
ACTR6,1335,1560,1097,872
ACTR8,1706,1278,1685,1388
ACTRT1,0,0,0,0
ACTRT2,0,0,0,0
ACTRT3,148,147,122,108
ACVR1,487,328,330,392
ACVR1B,877,607,992,750
ACVR1C,17,19,5,2
ACVR2A,828,871,527,483
ACVR2B,2133,1776,1419,1152
ACVR2B-AS1,26,12,35,37
ACVRL1,1,1,1,0
ACY1,1,0,13,18
ACY3,1,0,1,0
ACYP1,224,194,252,172
ACYP2,90,110,71,56
ADA,176,61,388,272
ADA2,0,0,1,1
ADAD1,0,0,0,0
ADAD2,0,0,0,0
ADAL,850,840,934,582
ADAM10,6286,5900,5166,4043
ADAM11,20,14,21,26
ADAM12,1173,873,1152,981
ADAM15,3300,867,5353,4300
ADAM17,5047,4586,2252,1679
ADAM18,0,0,0,0
ADAM19,0,1,0,1
ADAM2,0,0,0,0
ADAM20,98,85,22,60
ADAM20P1,64,54,34,7
ADAM21,15,9,28,26
ADAM21P1,0,0,2,1
ADAM22,217,247,196,161
ADAM23,5,4,12,6
ADAM28,22,31,0,0
ADAM29,0,0,0,0
ADAM30,0,0,0,0
ADAM32,50,50,9,6
ADAM33,0,0,1,2
ADAM3A,0,0,0,0
ADAM3B,0,0,0,0
ADAM5,0,0,0,0
ADAM6,0,0,0,0
ADAM7,0,0,0,0
ADAM8,10,3,18,20
ADAM9,14177,13981,7987,6253
ADAMDEC1,0,0,0,0
ADAMTS1,383,361,1089,734
ADAMTS10,1,0,23,12
ADAMTS12,0,0,0,0
ADAMTS13,29,6,15,12
ADAMTS14,12,1,1,3
ADAMTS15,91,28,100,73
ADAMTS16,48,33,22,17
ADAMTS17,0,0,0,0
ADAMTS18,2,4,2,1
ADAMTS19,0,0,0,0
ADAMTS19-AS1,0,0,0,0
ADAMTS2,0,0,1,0
ADAMTS20,0,1,0,0
ADAMTS3,8,9,24,18
ADAMTS4,1,1,4,1
ADAMTS5,161,178,65,64
ADAMTS6,778,821,343,251
ADAMTS7,2,1,10,9
ADAMTS7P1,0,0,0,0
ADAMTS8,9,2,30,20
ADAMTS9,0,0,0,1
ADAMTS9-AS1,0,0,0,0
ADAMTS9-AS2,0,0,0,0
ADAMTSL1,3,0,7,2
ADAMTSL2,0,0,0,0
ADAMTSL3,0,0,0,0
ADAMTSL4,163,51,177,145
ADAMTSL4-AS1,73,55,35,47
ADAMTSL5,55,30,112,111
ADAP1,29,10,21,26
ADAP2,51,34,29,28
ADAR,15307,10544,15719,12251
ADARB1,692,357,1201,975
ADARB2,263,180,330,340
ADARB2-AS1,0,0,2,0
ADAT1,1703,1271,1504,1196
ADAT2,1040,1010,1129,862
ADAT3,8,2,9,12
ADCK1,239,127,286,173
ADCK2,496,228,454,362
ADCK5,74,10,86,63
ADCY1,0,0,0,0
ADCY10,2,4,2,3
ADCY10P1,103,60,50,55
ADCY2,0,0,0,0
ADCY3,1307,552,2599,2148
ADCY4,0,0,0,0
ADCY5,0,0,7,13
ADCY6,1269,529,1418,1267
ADCY6-DT,5,1,0,1
ADCY7,74,39,157,138
ADCY8,0,0,0,0
ADCY9,922,427,1555,1385
ADCYAP1,0,0,0,0
ADCYAP1R1,0,0,0,0
ADD1,1678,1064,1575,1340
ADD2,0,0,0,0
ADD3,1809,1809,1178,946
ADD3-AS1,2,4,3,0
ADGB,0,1,0,0
ADGRA1,0,0,0,0
ADGRA1-AS1,0,0,0,0
ADGRA2,68,26,114,93
ADGRA3,2806,2378,3554,2797
ADGRB1,0,0,2,0
ADGRB2,40,3,28,28
ADGRB3,0,0,0,0
ADGRD1,10,8,97,87
ADGRD1-AS1,0,0,0,0
ADGRE1,2,6,4,3
ADGRE2,709,557,872,806
ADGRE3,0,0,0,0
ADGRE4P,0,2,0,0
ADGRE5,2213,1000,2719,2569
ADGRF1,1,1,0,0
ADGRF2,0,0,0,0
ADGRF3,10,5,20,12
ADGRF4,33,40,2,2
ADGRF5,7,9,3,2
ADGRF5-AS1,0,0,0,0
ADGRG1,107,35,561,623
ADGRG2,0,1,58,40
ADGRG3,4,1,48,35
ADGRG4,0,0,0,0
ADGRG5,0,0,0,1
ADGRG6,481,462,1843,1431
ADGRG7,5,1,0,2
ADGRL1,262,106,191,233
ADGRL2,15,10,0,5
ADGRL3,24,37,0,0
ADGRL3-AS1,0,0,0,0
ADGRL4,0,0,4,5
ADGRV1,5,2,4,3
ADH1A,0,0,0,0
ADH1B,0,0,0,0
ADH1C,0,0,0,0
ADH4,0,0,0,0
ADH5,3731,2934,3473,2588
ADH6,0,0,0,0
ADH7,0,0,0,0
ADHFE1,18,9,7,5
ADI1,4163,3220,3296,2728
ADIG,0,1,1,0
ADIPOQ,0,0,0,0
ADIPOQ-AS1,0,0,0,0
ADIPOR1,2990,2077,3613,2628
ADIPOR2,4647,3635,4111,2923
ADIRF,0,0,0,0
ADK,3804,3777,2702,2176
ADM,2323,1646,1264,1009
ADM2,229,70,15,4
ADM5,16,6,44,47
ADNP,5493,3997,3970,4220
ADNP-AS1,21,15,13,12
ADNP2,1049,813,959,744
ADO,1503,1557,926,699
ADORA1,8,2,22,18
ADORA2A,0,0,1,0
ADORA2A-AS1,0,0,0,1
ADORA2B,1210,817,542,426
ADORA3,0,0,0,0
ADPGK,2441,1894,3259,2502
ADPGK-AS1,0,2,1,2
ADPRH,58,64,9,5
ADPRHL1,56,19,61,53
ADPRM,280,255,140,106
ADPRS,835,277,659,623
ADRA1A,0,0,0,0
ADRA1B,74,41,68,35
ADRA1D,3,2,3,5
ADRA2A,0,0,0,0
ADRA2B,0,0,0,1
ADRA2C,28,12,50,41
ADRB1,7,17,4,9
ADRB2,14,16,13,6
ADRB3,1,1,0,0
ADRM1,1621,500,2077,1767
ADSL,5189,3830,5325,3933
ADSS1,30,6,83,73
ADSS2,2085,2135,2034,1515
ADTRP,58,76,18,17
AEBP1,0,0,0,0
AEBP2,2553,2717,1776,1967
AEN,2199,1239,2478,1884
AFAP1,2757,1814,4171,3226
AFAP1-AS1,0,1,0,0
AFAP1L1,396,260,228,139
AFAP1L2,2,1,5,2
AFDN,8398,7250,3189,2484
AFDN-DT,7,1,0,1
AFF1,2584,2027,3147,2806
AFF1-AS1,63,38,116,86
AFF2,0,0,0,0
AFF3,0,0,0,0
AFF4,11041,10407,6387,5533
AFG1L,396,434,299,243
AFG3L1P,705,391,751,688
AFG3L2,6841,5432,7049,4985
AFM,0,0,0,0
AFMID,226,115,369,299
AFP,9,3,0,0
AFTPH,2039,2119,1357,1024
AGA,500,460,497,354
AGAP1,2058,1246,2305,1914
AGAP1-IT1,42,10,54,51
AGAP10P,28,11,22,13
AGAP11,8,2,2,3
